imdb_id,date
tt2788732,2016-08-10
tt0105812,1992-03-26
tt0377109,2005-03-17
tt0118883,1997-08-08
tt0360486,2005-02-08
tt0089370,1985-12-04
tt0218967,2000-12-12
tt0338094,2003-11-25
tt2361509,2015-09-24
tt0303714,2002-04-01
tt0463034,2006-07-14
tt1598778,2011-09-08
tt0111280,1994-11-18
tt1389137,2011-12-08
tt1272878,2013-08-02
tt0265662,2002-03-25
tt0112573,1995-05-24
tt1210166,2011-09-22
tt0104691,1992-09-25
tt0146838,1999-12-16
tt1959563,2017-08-16
tt1156398,2009-10-07
tt0302886,2003-02-21
tt0356634,2004-06-10
tt3631112,2016-10-05
tt0327597,2009-02-05
