name,year,rank,age,height
Richard Madden,(2011-2016),454,33,"5' 9¾"""
Aaron Ashmore,(2004-2006),455,40,"5' 11¾"""
Justin Chambers,(2005-2020),456,49,"5' 11"""
Jennifer Morrison,(2004-2012),457,40,"5' 5½"""
Nina Dobrev,(2012),458,,"5' 6¾"""
Jack Nicholson,(1974),459,82,"5' 9¾"""
Scarlett Hefner,(2011),460,29,"5' 4"""
Himesh Patel,(2019),461,29,"5' 11"""
Ryan Gosling,(2016),462,39,"6' 0½"""
Graham McTavish,(2012),463,,"6' 2"""
Stephen Graham,(2006),464,46,"5' 6"""
Pauley Perrette,(2003-2018),465,50,"5' 10"""
Noah Jupe,(2019),466,15,
Benedict Cumberbatch,(2014),467,43,"6' 0¼"""
Alicia Silverstone,(1995),468,43,"5' 5"""
Mare Winningham,(1989),469,60,"5' 6"""
Annie Murphy,(2015-2020),470,,"5' 7"""
Olivia Cooke,(2018),471,26,"5' 5½"""
Tom Ellis,(2015-2020),472,41,"6' 3"""
Jennifer Jason Leigh,(2015),473,58,"5' 3"""
Amanda Bynes,(2007),474,33,"5' 8"""
Kumail Nanjiani,(2017),475,42,"5' 8½"""
Jack Black,(2003),477,50,"5' 6"""
Kristin Lehman,(2004),478,47,"5' 6"""
Annette O'Toole,(1983),479,67,"5' 4"""
Aldis Hodge,(2016),480,33,"6' 1¼"""
Gwyneth Paltrow,(1998),481,47,"5' 9"""
Sean Young,(1982),482,,"5' 8"""
Bryan Cranston,(2008-2013),483,64,"5' 10½"""
Abigail Spencer,(2009),484,,"5' 6"""
Elias Koteas,(1998),485,59,"5' 10½"""
Liam Neeson,(2004),486,67,"6' 4"""
Grace Park,(2004-2009),487,46,"5' 9"""
Isla Fisher,(2005),488,44,"5' 3"""
Rufus Sewell,(1998),489,52,"6' 0"""
Ariel Winter,(2013-2018),490,22,"5' 1"""
Jesse Plemons,(2019),491,31,"5' 10"""
Sophia Bush,(2006),492,37,"5' 4"""
James Callis,(2004-2009),493,,"5' 8¼"""
Merritt Wever,(2002),494,39,"5' 8½"""
Sasha Alexander,(2015-2016),495,46,"5' 5"""
Jamie Lee Curtis,(1994),496,61,"5' 7"""
Jamie Bell,(2000),497,34,"5' 7"""
Brian Cox,(2003),498,73,"5' 6½"""
Harry Hains,(1992–2020),499,27,
Matt Bomer,(2014),500,42,"5' 11"""
Sienna Miller,(2009),501,38,"5' 5"""
Chris Pine,(2009),502,39,"6' 0"""
Rashida Jones,(2009-2015),503,44,"5' 4"""
Dane DeHaan,(2012),504,,"5' 8¼"""
Christopher Mintz-Plasse,(2007),505,30,"5' 7½"""
Michelle Hurd,(2016-2019),506,,"5' 9"""
Lily Collins,(2013),507,31,"5' 5"""
Jordan Peele,(2017),508,41,"5' 7½"""
Zazie Beetz,(2016-2018),509,28,"5' 6"""
Freddie Highmore,(2004),510,28,"5' 10"""
